Station,Latitude,Longitude,StationID
Temple,51.511006,-0.11426,940GZZLUTMP
Turnham Green,51.495148,-0.254555,940GZZLUTNG
Turnpike Lane,51.590272,-0.102953,940GZZLUTPN
Tower Hill,51.509971,-0.076546,940GZZLUTWH
Upminster Bridge,51.55856,0.235809,940GZZLUUPB
Upton Park,51.53534,0.035263,940GZZLUUPK
Upminster,51.559063,0.250882,940GZZLUUPM
Upney,51.538372,0.10153,940GZZLUUPY
Uxbridge,51.546565,-0.477949,940GZZLUUXB
Victoria,51.496359,-0.143102,940GZZLUVIC
Vauxhall,51.485743,-0.124204,940GZZLUVXL
Watford,51.657446,-0.417377,940GZZLUWAF
West Brompton,51.487268,-0.195599,940GZZLUWBN
White City,51.511959,-0.224297,940GZZLUWCY
West Finchley,51.609426,-0.188362,940GZZLUWFN
West Ham,51.528136,0.005055,940GZZLUWHM
West Hampstead,51.546638,-0.191059,940GZZLUWHP
West Harrow,51.57971,-0.3534,940GZZLUWHW
Willesden Green,51.549146,-0.221537,940GZZLUWIG
Wimbledon,51.421207,-0.206573,940GZZLUWIM
Wimbledon Park,51.434573,-0.199719,940GZZLUWIP
Willesden Junction,51.532259,-0.244283,940GZZLUWJN
Warwick Avenue,51.523263,-0.183783,940GZZLUWKA
West Kensington,51.490459,-0.206636,940GZZLUWKN
Wood Lane,51.509669,-0.22453,940GZZLUWLA
Waterloo,51.503299,-0.11478,940GZZLUWLO
Woodford,51.606899,0.03397,940GZZLUWOF
Wood Green,51.597479,-0.109886,940GZZLUWOG
Woodside Park,51.618014,-0.18542,940GZZLUWOP
Whitechapel,51.519518,-0.059971,940GZZLUWPL
West Ruislip,51.569688,-0.437886,940GZZLUWRP
Warren Street,51.524951,-0.138321,940GZZLUWRR
Wanstead,51.575501,0.028527,940GZZLUWSD
Westminster,51.50132,-0.124861,940GZZLUWSM
Westbourne Park,51.52111,-0.201065,940GZZLUWSP
West Acton,51.518001,-0.28098,940GZZLUWTA
Walthamstow Central,51.582965,-0.019885,940GZZLUWWL
Wembley Central,51.552304,-0.296852,940GZZLUWYC
Wembley Park,51.563198,-0.279262,940GZZLUWYP
Nine Elms,51.479912,-0.128476,940GZZNEUGST
